ID,Expected
0,31
1,3
2,35
3,35
4,14
5,35
6,3
7,29
8,35
9,23
10,14
11,3
12,14
13,14
14,31
15,33
16,14
17,3
18,42
19,3
20,3
21,3
22,29
23,3
24,12
25,34
26,34
27,42
28,14
29,15
30,69
31,35
32,34
33,35
34,3
35,12
36,3
37,34
38,3
39,38
40,35
41,34
42,35
43,35
44,60
45,34
46,35
47,42
48,3
49,3
50,34
51,35
52,29
53,12
54,34
55,29
56,3
57,35
58,3
59,35
60,3
61,42
62,54
63,29
64,35
65,12
66,14
67,29
68,35
69,35
70,18
71,34
72,35
73,3
74,1
75,3
76,1
77,9
78,12
79,34
80,14
81,3
82,35
83,35
84,12
85,3
86,35
87,34
88,3
89,34
90,21
91,3
92,34
93,29
94,35
95,34
96,14
97,33
98,16
99,3
100,29
101,52
102,14
103,35
104,34
105,35
106,42
107,33
108,3
109,58
110,42
111,12
112,3
113,3
114,34
115,40
116,35
117,3
118,3
119,16
120,35
121,14
122,23
123,6
124,35
125,29
126,23
127,35
128,34
129,35
130,34
131,3
132,3
133,35
134,14
135,48
136,34
137,14
138,23
139,12
140,14
141,12
142,3
143,35
144,14
145,29
146,34
147,1
148,1
149,35
150,29
151,35
152,12
153,35
154,3
155,34
156,3
157,14
158,14
159,35
160,35
161,13
162,3
163,3
164,29
165,60
166,14
167,12
168,35
169,42
170,34
171,35
172,35
173,35
174,29
175,3
176,34
177,31
178,34
179,35
180,29
181,29
182,1
183,42
184,3
185,29
186,18
187,3
188,35
189,15
190,3
191,31
192,35
193,14
194,31
195,30
196,18
197,23
198,35
199,30
200,18
201,3
202,12
203,52
204,16
205,12
206,31
207,42
208,3
209,34
210,35
211,3
212,23
213,14
214,29
215,3
216,12
217,3
218,3
219,29
220,30
221,1
222,29
223,37
224,35
225,35
226,12
227,31
228,37
229,12
230,35
231,3
232,6
233,34
234,34
235,29
236,34
237,52
238,3
239,35
240,3
241,23
242,19
243,12
244,15
245,3
246,3
247,14
248,35
249,5
250,18
251,35
252,23
253,34
254,38
255,3
256,35
257,48
258,3
259,37
260,3
261,34
262,34
263,37
264,35
265,18
266,3
267,12
268,3
269,12
270,35
271,35
272,34
273,3
274,35
275,34
276,3
277,3
278,34
279,35
280,29
281,29
282,34
283,35
284,3
285,31
286,14
287,14
288,35
289,31
290,3
291,3
292,14
293,35
294,14
295,35
296,35
297,34
298,34
299,34
300,23
301,34
302,35
303,35
304,3
305,3
306,29
307,35
308,42
309,37
310,14
311,14
312,31
313,34
314,35
315,29
316,3
317,35
318,14
319,42
320,14
321,34
322,1
323,3
324,35
325,35
326,1
327,34
328,34
329,29
330,3
331,35
332,30
333,18
334,12
335,35
336,14
337,35
338,35
339,35
340,14
341,29
342,35
343,29
344,35
345,29
346,14
347,34
348,35
349,34
350,35
351,3
352,34
353,35
354,14
355,35
356,3
357,3
358,31
359,3
360,3
361,35
362,34
363,34
364,33
365,35
366,29
367,29
368,35
369,29
370,38
371,1
372,33
373,35
374,35
375,34
376,14
377,12
378,3
379,42
380,34
381,15
382,35
383,14
384,3
385,58
386,35
387,52
388,29
389,29
390,35
391,3
392,30
393,3
394,42
395,42
396,3
397,14
398,37
399,3
400,35
401,35
402,29
403,3
404,29
405,37
406,3
407,16
408,35
409,14
410,23
411,14
412,31
413,29
414,14
415,29
416,29
417,42
418,34
419,23
420,35
421,35
422,3
423,29
424,35
425,12
426,35
427,12
428,31
429,3
430,12
431,34
432,14
433,3
434,35
435,34
436,3
437,35
438,35
439,35
440,31
441,14
442,14
443,35
444,35
445,35
446,35
447,35
448,35
449,35
450,29
451,35
452,58
453,35
454,3
455,3
456,14
457,12
458,52
459,34
460,34
461,42
462,3
463,3
464,34
465,14
466,42
467,14
468,35
469,42
470,34
471,35
472,35
473,31
474,35
475,18
476,5
477,3
478,35
479,30
480,12
481,14
482,12
483,34
484,3
485,35
486,35
487,35
488,35
489,35
490,14
491,3
492,29
493,3
494,29
495,29
496,37
497,34
498,35
499,37
500,35
501,34
502,29
503,31
504,29
505,34
506,35
507,14
508,34
509,3
510,35
511,35
512,3
513,3
514,29
515,29
516,37
517,12
518,34
519,34
520,35
521,29
522,35
523,29
524,3
525,3
526,23
527,3
528,3
529,12
530,34
531,35
532,34
533,35
534,29
535,21
536,3
537,14
538,29
539,14
540,29
541,35
542,3
543,12
544,29
545,34
546,52
547,29
548,42
549,3
550,1
551,58
552,3
553,35
554,35
555,14
556,12
557,42
558,12
559,29
560,14
561,3
562,12
563,3
564,3
565,3
566,17
567,35
568,35
569,3
570,38
571,1
572,3
573,3
574,34
575,35
576,29
577,52
578,3
579,14
580,35
581,14
582,38
583,3
584,29
585,29
586,3
587,3
588,3
589,14
590,12
591,3
592,34
593,35
594,35
595,3
596,3
597,35
598,29
599,18
600,14
601,35
602,29
603,29
604,12
605,3
606,35
607,29
608,35
609,3
610,31
611,14
612,35
613,14
614,3
615,6
616,35
617,34
618,35
619,34
620,35
621,52
622,38
623,14
624,35
625,30
626,35
627,18
628,3
629,12
630,23
631,29
632,3
633,3
634,3
635,14
636,12
637,35
638,34
639,3
640,18
641,3
642,14
643,29
644,42
645,34
646,35
647,12
648,3
649,3
650,14
651,35
652,29
653,35
654,35
655,29
656,29
657,3
658,29
659,35
660,35
661,14
662,34
663,35
664,3
665,35
666,3
667,34
668,3
669,29
670,12
671,20
672,12
673,22
674,29
675,54
676,35
677,35
678,35
679,3
680,37
681,23
682,34
683,34
684,34
685,35
686,35
687,3
688,29
689,35
690,35
691,37
692,23
693,35
694,23
695,3
696,14
697,3
698,35
699,35
700,35
701,3
702,3
703,34
704,35
705,31
706,3
707,12
708,60
709,14
710,34
711,14
712,3
713,15
714,1
715,34
716,15
717,34
718,29
719,14
720,3
721,35
722,29
723,34
724,29
725,35
726,34
727,14
728,3
729,3
730,14
731,35
732,29
733,29
734,35
735,34
736,29
737,3
738,29
739,35
740,3
741,31
742,3
743,42
744,3
745,23
746,29
747,35
748,23
749,12
750,35
751,35
752,34
753,35
754,34
755,35
756,35
757,35
758,12
759,3
760,52
761,52
762,35
763,35
764,3
765,34
766,14
767,29
768,42
769,3
770,14
771,35
772,35
773,38
774,34
775,9
776,52
777,42
778,34
779,29
780,34
781,34
782,18
783,14
784,35
785,29
786,29
787,35
788,35
789,31
790,14
791,29
792,35
793,37
794,34
795,14
796,12
797,18
798,3
799,14
800,35
801,14
802,29
803,35
804,35
805,35
806,35
807,35
808,3
809,31
810,18
811,34
812,14
813,31
814,35
815,34
816,35
817,1
818,34
819,35
820,14
821,14
822,3
823,23
824,35
825,34
826,3
827,3
828,12
829,12
830,29
831,3
832,35
833,29
834,3
835,42
836,29
837,3
838,35
839,35
840,35
841,31
842,3
843,3
844,35
845,3
846,35
847,30
848,34
849,3
850,12
851,35
852,34
853,14
854,3
855,3
856,43
857,3
858,23
859,14
860,3
861,37
862,3
863,34
864,35
865,34
866,52
867,3
868,42
869,29
870,35
871,35
872,29
873,29
874,3
875,3
876,42
877,52
878,12
879,29
880,34
881,34
882,14
883,34
884,34
885,29
886,35
887,29
888,34
889,34
890,34
891,35
892,35
893,3
894,35
895,35
896,3
897,37
898,37
899,31
900,3
901,3
902,3
903,34
904,14
905,12
906,35
907,34
908,3
909,35
910,35
911,29
912,3
913,34
914,3
915,34
916,35
917,31
918,3
919,38
920,3
921,3
922,35
923,3
924,3
925,12
926,35
927,31
928,29
929,34
930,34
931,14
932,3
933,29
934,23
935,35
936,34
937,3
938,52
939,35
940,14
941,14
942,35
943,3
944,3
945,35
946,18
947,1
948,35
949,34
950,34
951,14
952,29
953,29
954,29
955,3
956,34
957,14
958,14
959,3
960,35
961,14
962,14
963,35
964,35
965,3
966,35
967,3
968,3
969,3
970,18
971,42
972,35
973,35
974,34
975,37
976,38
977,3
978,35
979,38
980,34
981,29
982,52
983,52
984,14
985,14
986,35
987,3
988,35
989,12
990,3
991,34
992,30
993,3
994,29
995,3
996,3
997,14
998,35
999,37
1000,14
1001,3
1002,35
1003,35
1004,29
1005,35
1006,29
1007,14
1008,34
1009,35
1010,34
1011,3
1012,29
1013,14
1014,52
1015,35
1016,35
1017,3
1018,35
1019,35
1020,1
1021,3
1022,3
1023,3
1024,12
1025,35
1026,18
1027,12
1028,3
1029,34
1030,3
1031,37
1032,15
1033,3
1034,35
1035,14
1036,30
1037,3
1038,12
1039,35
1040,29
1041,35
1042,3
1043,3
1044,29
1045,34
1046,14
1047,12
1048,31
1049,35
1050,12
1051,29
1052,35
1053,3
1054,34
1055,38
1056,35
1057,3
1058,3
1059,18
1060,23
1061,35
1062,35
1063,35
1064,3
1065,35
1066,18
1067,54
1068,35
1069,35
1070,34
1071,3
1072,34
1073,35
1074,34
1075,3
1076,3
1077,31
1078,3
1079,3
1080,14
1081,18
1082,3
1083,35
1084,35
1085,3
1086,35
1087,35
1088,35
1089,29
1090,3
1091,34
1092,35
1093,35
1094,35
1095,29
1096,3
1097,34
1098,35
1099,23
1100,35
1101,12
1102,35
1103,42
1104,29
1105,23
1106,35
1107,3
1108,12
1109,60
1110,52
1111,35
1112,3
1113,35
1114,12
1115,14
1116,14
1117,29
1118,14
1119,35
1120,3
1121,3
1122,29
1123,12
1124,29
1125,34
1126,12
1127,3
1128,3
1129,29
1130,29
1131,1
1132,3
1133,42
1134,3
1135,29
1136,35
1137,14
1138,14
1139,1
1140,34
1141,33
1142,3
1143,14
1144,52
1145,35
1146,35
1147,35
1148,14
1149,35
1150,42
1151,35
1152,14
1153,3
1154,35
1155,15
1156,18
1157,35
1158,14
1159,35
1160,34
1161,29
1162,12
1163,35
1164,34
1165,35
1166,35
1167,34
1168,3
1169,29
1170,35
1171,29
1172,34
1173,35
1174,35
1175,35
1176,35
1177,34
1178,29
1179,12
1180,3
1181,15
1182,3
1183,35
1184,3
1185,3
1186,12
1187,35
1188,35
1189,42
1190,3
1191,34
1192,35
1193,3
1194,35
1195,35
1196,3
1197,12
1198,35
1199,35
1200,35
1201,42
1202,34
1203,3
1204,3
1205,42
1206,14
1207,29
1208,29
1209,14
1210,35
1211,3
1212,34
1213,35
1214,35
1215,3
1216,31
1217,34
1218,3
1219,35
1220,14
1221,34
1222,35
1223,52
1224,34
1225,38
1226,34
1227,29
1228,14
1229,3
1230,17
1231,29
1232,3
1233,35
1234,12
1235,35
1236,35
1237,42
1238,35
1239,29
1240,3
1241,29
1242,37
1243,58
1244,35
1245,34
1246,34
1247,35
1248,3
1249,29
1250,35
1251,34
1252,14
1253,3
1254,6
1255,34
1256,3
1257,34
1258,35
1259,3
1260,29
1261,35
1262,35
1263,35
1264,3
1265,35
1266,35
1267,29
1268,35
1269,37
1270,12
1271,35
1272,35
1273,52
1274,34
1275,3
1276,12
1277,14
1278,3
1279,42
1280,35
1281,1
1282,14
1283,37
1284,3
1285,14
1286,34
1287,3
1288,29
1289,18
1290,35
1291,35
1292,35
1293,35
1294,18
1295,3
1296,34
1297,35
1298,29
1299,3
1300,23
1301,58
1302,3
1303,29
1304,29
1305,23
1306,14
1307,3
1308,52
1309,29
1310,3
1311,34
1312,3
1313,18
1314,3
1315,42
1316,52
1317,29
1318,12
1319,52
1320,3
1321,12
1322,3
1323,29
1324,29
1325,34
1326,14
1327,42
1328,34
1329,14
1330,34
1331,34
1332,3
1333,3
1334,35
1335,35
1336,31
1337,12
1338,29
1339,35
1340,23
1341,14
1342,14
1343,29
1344,29
1345,14
1346,3
1347,35
1348,3
1349,37
1350,29
1351,34
1352,12
1353,12
1354,14
1355,3
1356,35
1357,14
1358,35
1359,35
1360,33
1361,14
1362,18
1363,15
1364,3
1365,3
1366,3
1367,12
1368,12
1369,3
1370,14
1371,34
1372,14
1373,35
1374,35
1375,35
1376,35
1377,54
1378,35
1379,34
1380,3
1381,14
1382,52
1383,29
1384,35
1385,35
1386,3
1387,35
1388,12
1389,3
1390,14
1391,35
1392,3
1393,29
1394,35
1395,35
1396,35
1397,12
1398,3
1399,9
1400,35
1401,35
1402,35
1403,29
1404,14
1405,29
1406,1
1407,34
1408,35
1409,29
1410,1
1411,35
1412,3
1413,9
1414,42
1415,35
1416,35
1417,34
1418,34
1419,29
1420,35
1421,25
1422,35
1423,54
1424,29
1425,14
1426,34
1427,19
1428,42
1429,14
1430,34
1431,29
1432,29
1433,31
1434,29
1435,14
1436,3
1437,42
1438,29
1439,35
1440,35
1441,34
1442,31
1443,34
1444,35
1445,16
1446,12
1447,52
1448,35
1449,34
1450,23
1451,35
1452,3
1453,34
1454,3
1455,34
1456,34
1457,35
1458,5
1459,34
1460,34
1461,35
1462,12
1463,3
1464,6
1465,12
1466,34
1467,35
1468,23
1469,52
1470,12
1471,42
1472,35
1473,3
1474,3
1475,3
1476,23
1477,31
1478,3
1479,22
1480,35
1481,35
1482,34
1483,35
1484,29
1485,3
1486,3
1487,3
1488,34
1489,34
1490,29
1491,16
1492,35
1493,35
1494,48
1495,3
1496,3
1497,35
1498,3
1499,35
1500,34
1501,29
1502,35
1503,29
1504,3
1505,23
1506,35
1507,35
1508,29
1509,3
1510,35
1511,3
1512,3
1513,34
1514,35
1515,34
1516,35
1517,16
1518,14
1519,35
1520,42
1521,3
1522,35
1523,3
1524,31
1525,29
1526,3
1527,52
1528,35
1529,34
1530,3
1531,35
1532,3
1533,35
1534,3
1535,23
1536,34
1537,6
1538,29
1539,3
1540,14
1541,3
1542,29
1543,15
1544,3
1545,23
1546,1
1547,35
1548,3
1549,14
1550,35
1551,35
