ID,Expected
0,35
1,3
2,35
3,3
4,14
5,35
6,3
7,3
8,35
9,35
10,3
11,3
12,3
13,29
14,3
15,34
16,3
17,3
18,34
19,3
20,3
21,3
22,3
23,14
24,3
25,34
26,34
27,35
28,14
29,29
30,29
31,3
32,3
33,29
34,3
35,29
36,29
37,35
38,54
39,3
40,35
41,14
42,29
43,29
44,35
45,29
46,35
47,34
48,3
49,3
50,3
51,3
52,29
53,29
54,3
55,35
56,3
57,35
58,35
59,35
60,35
61,3
62,54
63,29
64,3
65,3
66,29
67,29
68,3
69,14
70,3
71,3
72,3
73,3
74,1
75,3
76,34
77,3
78,29
79,3
80,3
81,3
82,3
83,3
84,3
85,35
86,35
87,3
88,3
89,34
90,35
91,3
92,35
93,34
94,3
95,3
96,35
97,3
98,16
99,3
100,3
101,3
102,3
103,35
104,29
105,34
106,3
107,3
108,3
109,34
110,29
111,29
112,3
113,35
114,34
115,35
116,35
117,3
118,3
119,16
120,35
121,3
122,3
123,3
124,29
125,3
126,35
127,35
128,34
129,29
130,3
131,3
132,3
133,35
134,3
135,3
136,3
137,3
138,3
139,29
140,35
141,34
142,3
143,35
144,35
145,29
146,3
147,1
148,35
149,29
150,3
151,35
152,29
153,3
154,54
155,3
156,3
157,3
158,3
159,3
160,29
161,3
162,3
163,3
164,29
165,35
166,34
167,3
168,3
169,3
170,3
171,34
172,54
173,35
174,3
175,3
176,29
177,29
178,35
179,29
180,34
181,29
182,35
183,3
184,3
185,35
186,34
187,14
188,3
189,34
190,3
191,3
192,35
193,3
194,3
195,16
196,18
197,3
198,35
199,3
200,35
201,3
202,3
203,35
204,3
205,3
206,3
207,14
208,35
209,35
210,3
211,3
212,35
213,3
214,29
215,14
216,34
217,3
218,3
219,29
220,12
221,3
222,29
223,35
224,29
225,3
226,3
227,3
228,35
229,29
230,29
231,3
232,3
233,3
234,35
235,34
236,3
237,3
238,3
239,3
240,3
241,3
242,12
243,29
244,34
245,3
246,3
247,3
248,29
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,35
257,29
258,3
259,35
260,3
261,35
262,35
263,29
264,3
265,29
266,3
267,12
268,3
269,3
270,29
271,35
272,34
273,14
274,35
275,34
276,18
277,3
278,34
279,3
280,34
281,3
282,34
283,35
284,29
285,30
286,3
287,3
288,35
289,3
290,3
291,3
292,3
293,3
294,3
295,35
296,35
297,29
298,3
299,3
300,29
301,34
302,29
303,3
304,3
305,35
306,29
307,16
308,3
309,35
310,3
311,35
312,29
313,34
314,3
315,35
316,3
317,14
318,3
319,29
320,3
321,35
322,1
323,3
324,3
325,35
326,3
327,35
328,3
329,29
330,3
331,35
332,14
333,3
334,3
335,3
336,3
337,35
338,35
339,3
340,14
341,35
342,35
343,29
344,34
345,34
346,14
347,35
